id,nombre_director,job,director_id
114,Garry Marshall,Director,1201
41043,Yuri Mamin,Director,125340
576,Sam Peckinpah,Director,7767
15477,C.M. Talkington,Director,78258
59146,Huang Jianxin,Director,134026
124472,Jean Bach,Director,1080040
30528,Sam Weisman,Director,54967
7300,Michael Hoffman,Director,52405
10824,Bill Condon,Director,15557
261246,Stephen Poliakoff,Director,116607
275,Joel Coen,Director,1223
25059,David R. Ellis,Director,4755
11827,Gerald Potterton,Director,70616
8766,Kevin Yagher,Director,176246
8766,Joe Chappelle,Director,55116
23570,Matt Reeves,Director,32278
47333,Franco Zeffirelli,Director,24657
54850,Anna Campion,Director,75474
51242,Franco Brusati,Director,49552
10112,Wolfgang Reitherman,Director,57314
4307,Pedro Almodóvar,Director,309
46029,Fernando Trueba,Director,37526
32308,Bill Couturié,Director,116103
88893,Werner Herzog,Director,6818
52873,André Téchiné,Director,96627
340210,Mika Kaurismäki,Director,54767
44281,Férid Boughedir,Director,1044284
28121,Martin Lawrence,Director,78029
12520,Stacy Title,Director,72619
1592,Gregory Hoblit,Director,17812
166901,Clément Virgo,Director,173004
36447,Bruno Barreto,Director,69719
19042,Paul Sabella,Director,71852
19042,Larry Leker,Director,952327
38884,Ken Loach,Director,15488
47449,Hal Salwen,Director,974388
36259,Jonathan R. Betuel,Director,70835
41852,Richard Pearce,Director,73496
40926,Todd Verow,Director,230320
9099,Jonathan Lynn,Director,21217
2021,Tim Sullivan,Director,20773
61752,Spike Lee,Director,5281
10988,Jeremiah S. Chechik,Director,34682
11479,Hervé Palud,Director,69537
398959,Martin Enlen,Director,43440
287305,Carlo Rola,Director,68998
12652,Claude Sautet,Director,20789
10684,Edward Zwick,Director,9181
954,Brian De Palma,Director,1150
68445,Friðrik Þór Friðriksson,Director,6759
18989,Pen Densham,Director,2182
10801,Sönke Wortmann,Director,1869
54285,Park Chul-soo,Director,105617
8840,Rob Cohen,Director,18878
278978,Joseph Vilsmaier,Director,14614
124625,Michael Verhoeven,Director,26595
11107,Steve Rash,Director,54590
16417,Gray Hofmeyr,Director,80526
70934,Richard Wherrett,Director,559920
10363,René Clément,Director,9740
161070,Anthony Hopkins,Director,4173
10539,Henry Selick,Director,57646
10543,James Foley,Director,15890
18414,Kelly Makin,Director,64030
47502,Paul Mazursky,Director,47773
11902,Emir Kusturica,Director,15254
27098,Bo Widerberg,Director,96934
25087,Alan Mehrez,Director,115983
5801,Satyajit Ray,Director,12160
896,Satyajit Ray,Director,12160
3065,Jim Mallon,Director,30021
2300,Joe Pytka,Director,23677
8069,Roger Vadim,Director,53767
288173,Catherine Cyran,Director,98940
187851,Brett Piper,Director,98094
27768,George Hickenlooper,Director,37852
221917,Peter Yates,Director,12804
8072,Jean-Luc Godard,Director,3776
35797,Bertrand Tavernier,Director,20556
88030,Mika Kaurismäki,Director,54767
185191,Claude Chabrol,Director,19069
83857,Gordon Willis,Director,3097
33245,Randal Kleiser,Director,8876
124460,Michael Blakemore,Director,1080036
27281,Simon Wincer,Director,18254
105045,Margarethe von Trotta,Director,39298
40001,Richard Benjamin,Director,24318
29621,Norberto Barba,Director,104404
117730,Eli Cohen,Director,585248
20762,Robert Mandel,Director,43786
37144,Pat Verducci,Director,1046169
48260,Michael Winterbottom,Director,172
12656,Steven Baigelman,Director,73838
38867,Zalman King,Director,42113
277270,Barry Caillier,Director,1661328
25969,Patrick Read Johnson,Director,56059
44103,Stijn Coninx,Director,81964
753,John Cassavetes,Director,11147
43634,Stacy Cochran,Director,129708
9103,Jean-Claude Van Damme,Director,15111
90214,Mark Joffe,Director,59438
